invention,year,inventor,category,category2,earliest_plausible,earliest_straightforward,actual_location,possible_locations,geographic_flag,geographic_note,confidence
Safety lamp,1812,William Reid Clanny,Mechanical,,1700–1750,1780–1810,"Bishopwearmouth, England",England; Scotland; Belgium (Liège); Germany (Saxony/Ruhr); France,ALIGNED,"Strong match — deep coal mining with persistent firedamp explosions was overwhelmingly a British (and to a lesser extent Belgian/German) problem in the 18th–early 19th century, so motivation and expertise concentrated there.",Medium
Planing machine,1814,James Fox,Mechanical,,1750–1780,1790–1810,"Derby, England, United Kingdom",United Kingdom; France; Sweden; Netherlands,ALIGNED,"Match — the actual invention occurred in early-industrial Britain, and the earliest plausible window aligns with the same European industrial heartland where iron-cutting tooling, screw-cutting lathes, and precision millwright workshops were maturing.",Medium
Canning process,1810,Nicolas Appert,Medical,,100 BC–200 AD,1700–1750,"Paris, France",Roman Empire (Italy; Gaul); Han China; Hellenistic Egypt (Alexandria),ALIGNED,"Actual invention occurred in Napoleonic France under explicit prize-driven institutional demand; France (as Gaul) is included among the plausible Roman-era locations, so the geographic origin is broadly aligned, though the specific mechanism differs.",Medium
Stethoscope,1816,Rene Laennec,Mechanical,,300–100 BC,1700–1780 AD,"Paris, France",Alexandria (Ptolemaic Egypt); Cos; Cnidus; Pergamon; Athens,MISMATCH,"Hellenistic medical centers (Alexandria, Cos, Cnidus, Pergamon, Athens) are the plausible earliest locations; Paris/France does not appear among them, representing a geographic mismatch explained by the Paris clinical school's unique 19th-century concentration of bedside pathological correlation.",Medium
Electric telegraph,1816,Francis Ronalds,Electrical,,1750–1770,1800–1820,"London, United Kingdom",United Kingdom; France; Netherlands; Italy; German states; British North American colonies,ALIGNED,"Matches well — 18th-century European centers of electrical experimentation (Royal Society London, Paris, Leyden) had the artisan glass-blowing, instrument-making, and electrostatic know-how. Ronalds' 1816 London demonstration sits squarely in this milieu.",High
Stirling hot air engine,1816,Robert Stirling,Mechanical,,1700–1720,1760–1780,"Scotland, United Kingdom",United Kingdom; Netherlands; France; German states; Sweden,ALIGNED,"Skilled metalworking workshops capable of building tight-tolerance pistons and cylinders existed in several northern European centers by 1700; the actual Scottish origin reflects the later Industrial Revolution context, but the engine could plausibly have arisen wherever competent instrument-makers and millwrights worked.",Medium
Dandy horse (Laufmaschine / velocipede),1817,Karl von Drais,Mechanical,,1400–1500,1600–1700,"Mannheim, Germany",Northern Italy (Florence; Milan; Venice); Southern Germany (Nuremberg; Augsburg); Flanders (Bruges); France (Paris); Ottoman cities,ALIGNED,"Mannheim/Karlsruhe in 1817 fits the pattern of skilled Central European wheelwright and carriage-making centers; the earlier plausible locations are similar craft hubs (Italian Renaissance workshops, South German metalworking towns) with comparable wheelwright and joinery expertise.",Medium
Tunneling shield,1818,Marc Brunel,Mechanical,,1500–1600,1700–1800,"Rotherhithe, London, England",England; France; Netherlands; Italian states; German states; Ottoman Empire; Ming/Qing China; Mughal India,ALIGNED,"Requires a society with active large-scale civil engineering or mining culture, skilled iron/timber craftsmen, and an economic incentive (river crossing, deep mine, fortification sap). Renaissance Italy, early modern Netherlands, Tudor-Stuart England, and Ming China all qualify; England is included, matching the actual location.",Medium
Difference engine,1822,Charles Babbage,Mechanical,,1700–1750,1780–1820,"London, England",England; France; Netherlands; Switzerland; Germany (Saxony/Augsburg),ALIGNED,"Requires a mature precision-clockmaking and instrument-making tradition; London, Paris, Geneva, and southern German clockmaking centers all qualify by the early 18th century. England's emerging industrial machine-tool culture gives it a slight edge for larger gear trains.",Medium
Pattern-tracing lathe,1822,Thomas Blanchard,Mechanical,,1500–1600,1700–1780,"Springfield Armory, Massachusetts, USA",Nuremberg (Germany); Augsburg (Germany); Florence/Milan (Italy); Paris (France); Antwerp (Spanish Netherlands); London (England),MISMATCH,"The earliest plausible window centers on Renaissance European workshops where ornamental turning, clockwork, and armorers' template-copying converged; this is geographically distinct from the actual 1822 Massachusetts armory context but mechanically continuous with the same craft tradition.",Medium
Heliography,1822,Nicéphore Niépce,Chemical,,1780–1800,1800–1820,"Saint-Loup-de-Varennes, France",France; Britain; German states; Netherlands; Italy,ALIGNED,"France matches well — late-18th-century French engraving and lithography circles were the natural milieu, and Britain (Wedgwood/Davy) was the only other place with comparable practitioner overlap between chemistry and image-making.",Flag
First lighter (Doberiner's Lamp),1823,Johann Dobereiner,Chemical,,1790–1810,1815–1825,"Jena, Germany",Germany; England; France; Sweden; Netherlands,ALIGNED,"Requires access to platinum (a Spanish/South American import refined in Europe from the mid-18th century) and a chemical-pneumatic workshop tradition; such conditions existed in major European centers of pneumatic chemistry (London, Paris, Stockholm, German university towns).",Flag
Bolt-action rifle,1824,Johan Nikolaus von Dreyse,Mechanical,,1700–1730,1750–1780,"Sömmerda, Prussia (modern Germany)",France; Prussia; Saxony; Habsburg Austria; England; Dutch Republic; Sweden; Northern Italy,ALIGNED,"Requires a mature gunsmithing tradition with skilled artisans capable of precision metal fitting and a culture of military firearms innovation; major European gunmaking centers (Liège, Suhl, Saint-Étienne, London, Brescia) all qualify.",Medium
Electromagnet,1824,William Sturgeon,Electrical,,1820–1822,1822–1825,"Woolwich, United Kingdom",United Kingdom; France; Denmark; German states (Prussia; Bavaria); Italian states; Netherlands; United States (northeast),ALIGNED,"Any well-equipped natural philosophy workshop in early-19th-century Europe with access to voltaic piles and insulated wire could replicate the work; Copenhagen, Paris, London, and Munich were all active centers within months of Oersted's announcement.",High
Friction match,1826,John Walker,Chemical,,1790–1800,1800–1815,"Stockton-on-Tees, England",England; France; Germany (Prussia/Saxony); Sweden; Netherlands,ALIGNED,"Requires a region with active pneumatic/oxidizer chemistry (post-Lavoisier/Berthollet) plus skilled apothecary-pyrotechnic trades; Paris, London, and major German university towns all qualify by the 1790s.",Flag
Hot-blast iron smelting,1828,James Neilson,Chemical,,1400–1500,1700–1750,"Glasgow, Scotland, UK",Liège region (Prince-Bishopric of Liège); Rhineland/Siegerland (Holy Roman Empire); Styria/Carinthia (Habsburg lands); Lombardy/Bergamo (Italy); Sweden (Bergslagen); Wealden England; Namur (Low Countries),ALIGNED,"A blast-furnace culture using waterwheel-driven bellows had spread across a belt from the southern Low Countries through the Rhineland and the Alps by c.1400, with Sweden and England catching up shortly after. Any of these ironmaking regions had the masonry, bellows, and charcoal supply chains needed; the binding constraint is craft tradition rather than geography.",Medium
Reaping machine,1828,Patrick Bell,Mechanical,,1500–1600,1700–1800,"Carmyllie, Scotland, United Kingdom",Italy; France; Germany; Netherlands; England; Ottoman Empire; Ming China,ALIGNED,"Requires a region with skilled metalworking artisans (clockmakers, gunsmiths, millwrights), draft horses or oxen, and broad-acre cereal cultivation — conditions met across Renaissance Europe and East Asia.",Medium
Gas Stove,1826,James Sharp,Mechanical,,1792–1800,1815–1826,"Northampton, England",England (Cornwall; Birmingham; London); Scotland (Glasgow); France (Paris),ALIGNED,Strong match. The earliest plausible window centers on British industrial regions where coal-gas experimentation was already underway; Murdoch's Redruth and Birmingham work and Lebon's Paris demonstrations bracket the realistic geography.,Medium
Commutated electrocmagnetic motor,1828,Anyos Jedlik,Electrical,,1821–1823,1825–1828,"Pest, Hungary (Habsburg Empire)",United Kingdom (London); France (Paris); Denmark (Copenhagen); German states (Berlin; Munich); Habsburg Empire (Vienna; Pest); Italian states; United States (Philadelphia; Boston),ALIGNED,"Once Oersted's 1820 announcement propagated through European scientific journals within months, any well-equipped workshop in a major European or American scientific center with access to voltaic piles, copper wire, and skilled instrument makers could attempt the construction. Centers with strong instrument-making traditions (London, Paris, Copenhagen, Vienna) had the greatest concentration of relevant artisans.",High
Braile Tactile alphabet,1829,Louis Braille,Other,,100 BCE – 200 CE,1500–1700,"Coupvray, France",Roman Empire; Han China; Ptolemaic/Roman Egypt; Hellenistic Mediterranean,MISMATCH,France did not exist in the earliest plausible period (100 BCE–200 CE); plausible locations are Mediterranean and East Asian literate civilizations of that era. The actual 1829 France location is a chronological mismatch rather than a surprising geographical one.,Medium
Compound air compressor,1829,William Mann,Mechanical,,1700–1730,1760–1790,United Kingdom,England; France; Netherlands; Germany (Saxony/Harz mining regions); Sweden,ALIGNED,"Regions with advanced metalworking, mining-pump traditions, and skilled cylinder-boring artisans are the natural homes; English and Continental mining districts already used force-pumps and air-engines for ventilation.",Medium
Corrugated galvanized iron,1829,Henry Robinson Palmer,Mechanical,,1790–1810,1815–1828,"London, England",England; France; Sweden; Belgium; Prussia/Germany; United States,ALIGNED,"The invention requires a mature iron-rolling industry capable of producing thin wrought-iron sheets at scale; Britain led decisively, but Sweden, France, and the US had competent rolling mills by the late 18th century. London's dockyards (where Palmer worked) provided the structural-engineering use case, but any major industrial port could host it.",Medium
Electromagnetic induction,1831,Michael Faraday,Electrical,,Flag,Flag,"London, United Kingdom",Flag,Flag,"Faraday's discovery occurred at the Royal Institution in London. Had it been team-reachable, candidate locations would mirror post-Oersted electromagnetic research hubs (London, Paris, Copenhagen, Munich), but the rubric forbids team derivation of this off-limits phenomenon.",Flag
Lawn mower,1830,Edwin Budding,Mechanical,,1815–1830,1820–1830,"England / Stroud, Gloucestershire, England",England; Scotland; France; Belgium; Prussia; United States,ALIGNED,"The decisive precursor was the textile nap-shearing machine developed in English wool-finishing centers (Gloucestershire, Yorkshire), so southwest England is by far the most likely birthplace; other locations require an independent textile-engineering culture with similar rotary-shear practice.",Medium
First practical rotating electric motor,1834,Mortiz von Jacobi,Electrical,,1822–1828,1830–1834,"Königsberg, Prussia (later demonstrated in St. Petersburg, Russia)","Prussia (any city, including Königsberg or Berlin); United Kingdom (London); France (Paris); Russia (St. Petersburg); Denmark (Copenhagen)",ALIGNED,"ALIGNED. Königsberg was a Prussian university city with access to electromagnetic research circulating across German states, Britain, France, and Russia in the 1820s–30s; the prerequisite stack (batteries, wire, machined iron cores, commutators) was reproducible in any of these centers.",Medium
Morse Code,1837,Samuel Morse,Other,,1600–1650,1790–1810,"United States / New York, USA",England; France; Italy; Netherlands; German states; Spain; Ottoman Empire; China,MISMATCH,"Any literate society with a standardized alphabet, printing/tabulation traditions, and an interest in long-distance signaling (military, naval, or cryptographic) could have produced such a code. European powers in the early modern period had the strongest combined incentives (naval signaling, ciphers, postal networks).",Medium
Electrotyping,1838,Mortiz von Jacobi,Chemical,,1800–1810,1810–1820,"Russia / St. Petersburg, Russia",United Kingdom (London); France (Paris); Italy (Pavia/Como); German states; Russia (St. Petersburg),ALIGNED,"Requires access to a working voltaic pile and a skilled metalworking/printing workshop, concentrated in early-19th-century European scientific capitals where Volta’s pile was being replicated within months of its 1800 announcement.",Medium
Steam Shovel,1839,William Otis,Mechanical,,1800–1815,1820–1835,"Canton, Massachusetts, USA",Britain (Manchester/Birmingham/Newcastle/London); USA (Philadelphia/Boston); France (Paris),ALIGNED,"Requires a heavy-engineering culture with stationary steam engines, ironworks, and large civil-engineering projects (canals, mines, railways). Britain is the most likely birthplace given Boulton & Watt and the Cornish/Newcastle engine-building traditions; the eastern USA is a close second by the 1820s.",Medium
Steam Hammer,1839,James Nasmyth,Mechanical,,1790–1800,1800–1815,"Patricroft, England, UK",Britain (Manchester/Birmingham/Sheffield/Soho); possibly France (Paris/Le Creusot),ALIGNED,"Only Britain in the 1790s combined high-pressure-capable steam engine workshops (Boulton & Watt, Wilkinson) with large-scale iron forging practice; Le Creusot in France is a plausible secondary site.",High
Photovoltaic effect,1839,Edmond Becquerel,Other,,Flag,Flag,"France / Paris, France",Paris (France); London (UK); Berlin (Prussia),Flag,"Becquerel’s discovery occurred in his father’s electrochemical laboratory in Paris. Had it been team-reachable, candidate locations would mirror post-Oersted electromagnetic research hubs, but the rubric forbids team derivation.",Flag
Electromechanical relay,1835,Joseph Henry,Electrical,,1827–1832,1830–1835,"Albany, New York, USA",United Kingdom (London/Manchester); France (Paris); Germany (Berlin); United States (New York/Philadelphia/Boston),ALIGNED,"ALIGNED. The USA was a plausible location by the late 1820s given active scientific correspondence networks and Henry's own electromagnetic work, though the strongest concentration of skilled instrument-makers and electromagnet experimenters in the 1827–1832 window was in Britain and continental Europe.",Medium
Vulcanized Rubber,1839,Charles Goodyear,Chemical,,1800–1810,1820–1835,"Woburn, Massachusetts, USA",United Kingdom; France; United States,ALIGNED,"Goodyear's discovery occurred in the USA, which is among the plausible locations at the earliest plausible date. ALIGNED.",Flag
Daguerrotype,1839,Louis Daguerre,Chemical,,1815–1825,1830–1840,"France / Paris, France",France; United Kingdom; Germany (German states); Switzerland; United States,ALIGNED,"ALIGNED. Paris and London were the principal centers for camera obscura optics, silver chemistry, and the experimental milieu (Niépce, Wedgwood, Davy) that produced photographic experimentation in the early 19th century.",Medium
"""Blueprint"" (cyanotype) process",1840,John Herschel,Chemical,,1825–1835,1835–1845,"United Kingdom / Slough, England",United Kingdom; France; Germany; Sweden; Netherlands,ALIGNED,"ALIGNED. By the 1820s–1830s, iron-cyanide chemistry was being actively developed in Britain, France, and the German states; any well-equipped chemical workshop in these regions could pursue the process.",Medium
Printing telegraph,1841,Alexander Bain,Mechanical,,1810–1815,1820–1825,"United Kingdom / Edinburgh, Scotland (later London)",United Kingdom; France; Italy; German states; Denmark; Netherlands,ALIGNED,"ALIGNED. Britain had the precision clockmaking, electrochemistry expertise, and instrument-making workshops needed; France and the German states were equally plausible given Volta's pile and active galvanic experimentation across Europe.",Medium
Fuel Cell,1842,William Robert Grove,Chemical,,1810–1820,1825–1835,"UK / Swansea, Wales, UK",UK; France; Germany (Prussia); Netherlands; Italy,ALIGNED,"ALIGNED. Early 19th-century European centers of electrochemistry (London, Paris, Berlin, Haarlem) had the platinum-working capability, voltaic piles, and gas-handling apparatus needed; Grove's actual location fits this distribution.",Medium
Super-phosphate fertilizer,1842,John Bennet Lawes,Chemical,,1750–1780,1790–1820,"England / Rothamsted, England",Britain; France; Netherlands; Sweden; Prussia,ALIGNED,"ALIGNED. Industrial-scale sulfuric acid production via the lead-chamber process originated in Britain (Roebuck, 1746), and Britain combined intensive agricultural improvement culture with chemical manufacturing — the same conditions that produced the actual invention.",Medium
Wood-pulp paper,1844,FG Keller and Charles Fenerty,Mechanical,,1100–1300,1720–1750,"Germany (Keller, Saxony) / Canada (Fenerty, Nova Scotia)",China; Korea; Japan; Abbasid/Mamluk Caliphate (Baghdad/Damascus/Cairo); Al-Andalus (Xàtiva); Song China; medieval Italy (Fabriano),MISMATCH,"The earliest plausible window (1100–1300) points to Song China or the Islamic world, where papermaking, water-powered trip-hammer mills, and abrasive grindstones all coexisted; Germany and Canada do not appear in the plausible-date list, making this MISMATCH. By the straightforward date (1720–1750), European papermaking and Réaumur's wood-fiber suggestion make Western Europe plausible, though it remains a geographic stretch from the actual locations.",Medium
Hypodermic needle,1844,Francis Rynd,Medical,,1700–1750,1820–1844,"Ireland / Dublin, Ireland",England; France; Netherlands; Germany; Italy,MISMATCH,"MISMATCH. The possible locations at the earliest plausible date (1700–1750) center on the leading instrument-making hubs — London, Paris, Amsterdam, and German centers. Dublin's scientific instrument trade was secondary in this period; Ireland does not appear in the possible-locations list. The invention could have been made in England, France, or the Netherlands well before Rynd's Dublin realization.",Medium
Modern high-strength Portland cement,1845,Isaac Charles Johnson,Chemical,,1790–1810,1820–1840,"Kent, England",England; France; Germany; Belgium,ALIGNED,"ALIGNED. The actual invention occurred in Kent, England, which had the industrial kiln infrastructure, active lime/cement trade, and empirical engineering culture most likely to produce this innovation at any plausible early date. Continental Europe (France, Germany) had comparable refractory kiln technology and building trades but slightly less concentrated commercial cement experimentation.",Medium
Tunnel-boring machine,1846,Henri-Joseph Maus,Mechanical,,1818–1825,1830–1840,Belgium / France (Mont Cenis / Fréjus tunnel project),United Kingdom; France; Belgium; United States,ALIGNED,"ALIGNED. The actual invention occurred in the France/Belgium sphere, which had both the industrial base and the pressing civil-engineering demand (Alpine rail tunneling) to motivate the work. The UK was equally or better positioned industrially and had the most active tunneling culture of the era.",Medium
Nitroglycerin,1847,Ascanio Sobrero,Chemical,,1838–1845,1843–1847,"Turin, Italy",France; Germany; United Kingdom; Italy; Sweden,ALIGNED,"ALIGNED. Turin was a credible center of chemical research in the 1840s, and Sobrero worked under Pelouze in Paris before returning — the invention sits squarely in the French-Italian-German chemical research corridor that dominated organic chemistry at the time.",Medium
Pneumatic drill,1848,Jonathan Couch,Mechanical,,1800–1810,1820–1835,"Philadelphia, Pennsylvania, USA",United Kingdom (England/Scotland); France; USA (eastern seaboard),ALIGNED,"ALIGNED. The actual invention occurred in the USA, which by 1848 had mature steam infrastructure and urgent demand from railway/tunnel construction; the earliest plausible window centers on Britain and France, which led in steam-power engineering and had comparable hard-rock tunneling demands (canal and early railway works) a generation earlier.",High
Pin-tumbler cylinder lock,1848,Linus Yale Sr.,Mechanical,,1780–1800,1820–1840,"Newport, New York, USA",United Kingdom (London/Birmingham); France (Paris); Germany (Nuremberg/Solingen),MISMATCH,"MISMATCH. The earliest plausible date points to Britain or continental Europe, where precision metal-working, industrial filing, and the organized locksmithing trade were most advanced in the late 18th century; Yale Sr.'s American realization came a generation after these capabilities were fully available in European craft centers.",Medium
Metallic-cartridge repeating rifle,1849,Walter Hunt,Mechanical,,1845–1850,1855–1865,"New York, USA",USA; France; Belgium; United Kingdom,ALIGNED,"ALIGNED. The USA and Western Europe (particularly France and Belgium) had the precision metalworking, firearms craft traditions, and percussion ignition knowledge necessary; Hunt's New York location was plausible, and the parallel European pinfire work confirms the geography was broadly correct.",Medium
Francis water turbine,1849,James Francis,Mechanical,,1800–1810,1830–1840,"Lowell, Massachusetts, USA",United Kingdom; France; Switzerland; USA (New England mill districts),ALIGNED,"ALIGNED. The actual invention occurred in a major industrial mill district (Lowell, MA) with strong hydraulic engineering culture; the earliest plausible date would similarly favor Britain and France, where precision metalworking, hydraulic millwork, and systematic engineering practice were most concentrated by 1800–1810.",High
Safety pin,1849,Walter Hunt,Mechanical,,1650–1700,1700–1750,"New York, USA",England; France; Netherlands; Germany,MISMATCH,"MISMATCH. The actual invention occurred in the United States, but the prerequisite industrial wire-drawing and spring-tempering capabilities were concentrated in European metalworking centers (particularly England and the German states) significantly earlier; the invention could plausibly have emerged there well before the American context that produced Hunt.",Medium
Hydraulic accumulator,1850,William Armstrong,Mechanical,,1800–1810,1810–1820,"Newcastle upon Tyne, England",England (London; Birmingham; Manchester); France (Paris); Netherlands,ALIGNED,"ALIGNED. England was the center of industrial hydraulics, with Bramah's press (1795) and a mature millwright/engineering culture; Armstrong himself worked in Newcastle, the heart of heavy industrial engineering.",High
Public flush toilet,1851,George Jennings,Mechanical,,1780–1790,1800–1820,"London, United Kingdom",London; UK; Paris; France; Amsterdam; Netherlands,ALIGNED,"ALIGNED. The actual invention occurred in London, which was also the most plausible early location given its combination of municipal sewer infrastructure, dense urban population creating demand, and prior flush closet development by Cumming and Bramah.",Medium
Chemical-vapor deposition,1852,Robert Bunsen,Chemical,,1800–1810,1830–1840,"Heidelberg, Germany",United Kingdom (London; Edinburgh); France (Paris); Germany (Berlin; Göttingen); Sweden (Stockholm),ALIGNED,"ALIGNED. Germany was a leading center of analytical and inorganic chemistry by mid-century, and Bunsen's Heidelberg laboratory was well-resourced; the technique required no infrastructure unavailable elsewhere in Western Europe.",Medium
Safety-brake elevator,1852,Elisha Otis,Mechanical,,1790–1810,1820–1840,"Yonkers, New York, USA",United Kingdom (England); France; Germany; United States,ALIGNED,"ALIGNED. The actual invention occurred in an industrializing American manufacturing center; the earliest plausible locations are the leading industrialized nations of the late 18th–early 19th century, all of which possessed the requisite metalworking, spring manufacture, and mine-hoist infrastructure.",High
Powered dirigible flight,1852,Henri Giffard,Mechanical,,1820–1830,1835–1845,"Paris, France",United Kingdom; France; Germany,ALIGNED,"ALIGNED. France and Britain were the leading centers of both aeronautics (ballooning tradition since 1783) and lightweight steam engine development (Trevithick, high-pressure engines by 1800–1810), making either country a plausible site for an earlier attempt.",Medium
Reinforced concrete,1853,Francois Coignet,Mechanical,,1796–1800,1824–1835,"Paris, France",United Kingdom; France; Belgium,ALIGNED,ALIGNED. Britain and France led in both iron construction and cement chemistry in this period; the actual invention in Paris fits the broader northwest European industrial core where all prerequisite materials and structural knowledge converged.,Medium
Practical three-color photography,1855,James Clerk Maxwell,Chemical,,1873–1878,1878–1885,"Edinburgh / London, UK",UK (London; Edinburgh); Germany (Berlin; Leipzig); France (Paris),ALIGNED,ALIGNED. The UK and Germany were the leading centers of photographic chemistry and color theory in this period; Maxwell's actual location is fully consistent with where earliest plausible work would have occurred.,Flag
Bessemer Steel Process,1855,Henry Bessemer,Chemical,,1820–1835,1835–1850,"London, England",England; Belgium; France; Sweden; United States (Pennsylvania),ALIGNED,"ALIGNED. England was the global center of iron and steel production, blast furnace technology, and industrial empirical engineering in the early 19th century; the invention naturally emerged there and could plausibly have emerged in no more than a handful of other leading ironworking nations.",Medium
Parkesine (celluloid),1856,,,,1846–1850,1848–1852,"Birmingham, England",England; Germany; France; United States,ALIGNED,ALIGNED. Birmingham was a center of industrial chemistry and skilled artisan manufacturing; the actual inventor worked precisely in the environment most capable of producing this invention at the earliest plausible date.,High
Vapour-compression ice machine,1856,James Harrison,Mechanical,Chemical,1834–1840,1840–1848,"Geelong, Australia / Glasgow, Scotland",United Kingdom (London; Glasgow; Birmingham); France (Paris); United States (Philadelphia; New York),MISMATCH,"MISMATCH. The earliest plausible date precedes Harrison's involvement; the most capable workshops and engineering talent in 1834–1840 were concentrated in industrial Britain and France, not colonial Australia.",Medium
Mauveine synthetic dye,1856,William Henry Perkin,Chemical,,1845–1855,1850–1858,"London, England",England (London; Manchester); France (Paris; Lyon); Germany (Berlin; Giessen),ALIGNED,ALIGNED. England was the leading center of coal-tar chemistry and textile industry demand; France and Germany had strong organic chemistry traditions that could also have achieved this. Perkin's London location was ideal given coal-tar availability and dye-trade infrastructure.,Medium
Geissler tube,1857,Heinrich Geissler,Electrical,Chemical,1852–1856,1854–1857,"Bonn, Germany",Germany; England; France,ALIGNED,"ALIGNED. The actual invention occurred in Bonn, Germany, which sits at the intersection of the strongest European glass-instrument-making tradition, the Ruhmkorff coil (Paris, 1851), and university-adjacent precision instrument workshops. England and France had comparable concentrations of glassblowers, induction coil access, and vacuum-pump expertise by the early 1850s.",High
Phonautograph,1857,Édouard-Léon Scott de Martinville,Mechanical,,1800–1810,1820–1830,"Paris, France",France; United Kingdom; Germany,ALIGNED,"ALIGNED. Paris was a leading center of scientific instrument-making and acoustics research. At the 1800–1810 earliest plausible date, the relevant Paris advantages are Chladni's vibration figures (1787, widely demonstrated in Paris), skilled artisan instrument workshops, and scientific-society infrastructure — not Savart's later membrane work (1820s) or Lissajous, which belong to the 1820–1830 straightforward window.",High
Lead-acid rechargeable battery,1859,Gaston Plante,Chemical,,1836–1842,1840–1845,"Paris, France",France; United Kingdom; Germany; United States,ALIGNED,"ALIGNED. Paris was a leading center of electrochemical research in the mid-19th century, and the UK and Germany had comparable infrastructure; the invention required no unique local resources.",High
Carbon fiber (carbonized filament),1860,Joseph Swan,Other,,1820–1835,1835–1845,"Sunderland, England",England; France; Germany; United States,ALIGNED,ALIGNED. Britain led early electrical experimentation and had strong craft traditions in fine thread and kiln work; France and Germany had comparable chemical and artisan capabilities by the 1820s–1830s.,Medium
Pasteurization,1864,Louis Pasteur,Medical,,1780–1800,1820–1840,"Paris, France",France; United Kingdom; Netherlands; Italy,ALIGNED,"ALIGNED. France had strong wine and beer industries providing clear economic motivation, and Paris was a center of natural philosophy and empirical investigation; the technique could have emerged in any Western European nation with similar fermented-beverage industries and access to instrument makers.",Medium
